A;33780;35940;0;0;76060;0;34740;21600;47952;64936;57260;0;35220;44080;38040;39840;36000;36000;36000;0;36000;72000;0;0;36000;0;72000;36000;36000;0;36000;0;36000;36000;36000;0;36000;36000;36000;36000;0;36000
B;0;68376;0;0;128768;49140;52500;0;24696;119930;98532;0;0;0;52248;49392;115064;66384;73286;49870;84084;0;101136;143304;0;0;96348;0;49644;49980;171488;0;149268;46116;0;0;0;49644;39060;28140;149016;39000
C;18032;0;0;18259;0;18445;0;0;18372;18283;18394;13690;0;22631;0;0;54723;0;36679;34803;0;64179;26970;20513;0;0;9849;9898;9952;10780;67555;0;34462;0;43106;28870;0;29374;26197;0;43395;23348
D;0;72605;79632;39587;31000;65503;49812;39800;52178;62408;79672;119089;118971;0;55677;39484;39653;79196;39377;37725;79334;119033;118876;0;63922;59326;61064;0;107497;0;158116;39421;67145;0;60344;0;79098;78772;24079;92529;74963;118586
E;4100;0;4000;0;3900;0;5200;0;19600;9400;0;0;0;4800;0;5000;0;4500;0;4800;5000;0;5000;0;0;8200;0;7500;8600;0;10200;0;10300;0;10000;0;9600;0;10100;0;9600;0
F;184411;0;39835;218443;117637;356411;156251;353908;289224;781360;0;0;0;0;0;277404;185828;217724;379903;223317;176738;71484;71834;73812;148962;0;0;0;146587;0;223130;74594;146474;221417;0;147001;74358;150064;372678;296212;72060;0
G;0;458677;0;190687;-100;126160;136730;90310;130570;259710;0;0;0;190000;0;0;0;0;0;171050;424426;575335;0;0;0;0;0;515686;0;407110;84480;29990;0;217360;242440;70412;91812;90528;230076;185976;192528;75516
H;4621;5512;0;4058;14038;9874;9690;0;42942;5059;0;16480;0;21796;0;35231;5683;6873;14236;39333;17035;11315;21480;0;64607;0;16029;18071;15114;0;21442;19624;39419;0;48071;5381;53492;18520;43483;33272;0;76400
I;12000;11147;0;34937;43089;0;22000;21075;10995;0;47137;0;33777;10000;41322;26535;31953;0;34000;45255;0;140000;4991;0;0;0;85544;0;0;0;0;0;0;39812;77056;0;60888;0;0;44735;65488;37502
J;0;18696;0;17200;0;31500;0;0;30440;27180;16180;78920;0;0;35400;38700;0;36780;38000;0;9600;45320;0;0;33055;28910;0;59880;0;17280;43200;0;52800;0;42530;40440;11640;35640;69720;0;0;0
K;7528;22293;22474;0;0;15022;0;42477;7646;14873;0;30344;18988;14945;14870;0;0;28933;0;20539;15004;29775;0;15084;7597;22432;14959;14838;14938;0;44528;14870;15007;22485;14871;7450;36907;0;0;37145;0;14941
L;0;39850;119890;141159;0;158676;0;39800;35869;0;151937;139194;114104;118702;78828;192380;148724;198083;156198;314970;158487;157015;276448;196656;0;0;197670;53675;283349;158986;117432;157986;197210;198576;127370;0;78665;195920;156804;196014;87063;47614
M;37961;88763;0;0;35605;0;30197;0;40268;0;39793;77511;39486;0;39481;39388;130080;0;78995;137991;79499;0;198649;0;39693;39879;37011;39892;39777;77678;39246;79210;79364;76056;79163;39443;0;79042;79288;79100;92739;117434
N;12569;11864;0;12104;0;0;0;-11821;7997;13312;15704;10835;2747;1860;1200;900;2460;4660;2740;8520;10381;16230;1672;3848;7780;7080;6310;850;780;1480;750;9190;7860;18816;4900;7240;3200;2400;2220;4945;4300;0
O;32910;37713;30000;124763;0;35244;36210;29037;36937;0;59182;0;21113;64512;38306;43658;38559;0;59639;12240;16669;69799;31645;0;61146;38400;5320;73221;0;29055;73436;66994;0;8640;29387;47264;38800;41139;22068;43958;23263;29460
